,dist,abs_1,abs_2,abs_3,abs_4,abs_5,abs_6,rel_angle
CEM-CDC-AD0407190930,-6.991822114016022,1.0,0.6152183894190665,0.17920722687094082,0.16834518020736255,0.6922793972350296,1.48345984868102,0.2968850694850048
CEM-CDC-AF1202191200,-12.302217017939387,1.0,-2.3729195572246686,0.9641226430491894,2.9117907802658474,-0.2353427606528603,1.0111994953846737,0.675680419768291
CEM-CDC-AL1107191100,-2.9805070541309524,1.0,-0.001817319012745039,0.0703097857996331,0.778227352690563,1.2074391717630986,1.8154337142530672,0.10288526055179203
CEM-CDC-BS0307191205,-7.1283377754441615,1.0,-0.4531754667257899,0.8257238296158367,1.7087454755963318,1.1718733941090416,2.069584611274463,0.5305163160582866
CEM-CDC-GS2606191230,-1.280668973557007,1.0,4.509286536802822,3.2913645432493515,-0.43126584102439947,-2.1913849622837653,-1.3096890450162404,-0.19604876879997662
CEM-CDC-HP1311191300,-4.75023536837298,1.0,2.6702898558282846,2.8180246409422898,0.3564075942425601,-1.648251396882852,-1.0119951881657685,0.5323944456671399
CEM-CDC-KA2603191130,-4.289538227740476,1.0,0.012526612923030478,0.35911060136868644,-0.3256195769626504,-0.5041539232425529,0.894782303412083,0.6663681052865204
CEM-CDC-MA2811190930,-5.232974784306501,1.0,0.05464072415786292,0.7950208161829706,2.181847810101972,0.37629775463361836,1.1100178449298366,0.6748318093234118
CEM-CDC-MR1311181030,-6.6637595625711405,1.0,-1.1994274390153854,0.9350381439367199,3.691260943042398,3.1085472198080537,3.5066258457589528,1.7501775349922402
CEM-CDC-NV1102191000,-7.149401072828255,1.0,0.5071281631690803,1.529631726623555,2.522386680758276,1.3731501688575267,0.6696823229299984,1.206224447027898
CEM-CDC-PM2111191300,-10.108746323971673,1.0,-1.3209317944657502,-0.8681177308314856,-1.6618064832158634,-2.8529213395489403,0.013808495068193039,2.1439353751015875
CEM-CDC-SJ2703191000,0.9147024599696046,1.0,-0.30541595400277544,-0.6565918951390131,-0.7128341176966111,0.14289413025629227,1.0997374328964904,0.14276680407871642
CEM-CDC-VC2111190930,-8.08484950063728,1.0,-2.030378642256488,-0.8736740413714252,1.424085563938085,-0.652337219200793,1.550748714410739,2.92132451904665
CEM-CDC-YP2711191300,-3.9464936378946662,1.0,-0.48338812669598735,-0.3501732555209094,-0.1552414321950603,-0.30330057531930343,1.1539992175557445,0.22013672598378453
